title,duration,views,likes,comments,published_at,engagement,duration_minutes,channel_name,date,time
Guide to Agentic AI – Build a Python Coding Agent with Gemini,PT2H14M23S,91924,3433,81,2025-09-03T13:37:24Z,0.0382272311909838,134.38333333333333,FreeCodeCamp,2025-09-03,01:37:24 PM
Mandarin Chinese Language Beginners Course – Learn HSK1 Level Mandarin,PT10H32M55S,59526,2843,401,2025-09-02T13:51:56Z,0.0544971945032422,632.9166666666666,FreeCodeCamp,2025-09-02,01:51:56 PM
"How to use AI as an accelerator, not a crutch, with freelance engineer Ankur Tyagi  [Podcast #186]",PT54M25S,17079,521,40,2025-08-29T14:00:06Z,0.0328473564025996,54.41666666666666,FreeCodeCamp,2025-08-29,02:00:06 PM
JavaScript Tutorial with Three.js – 5 Projects for Beginners,PT1H25M13S,30492,1329,28,2025-08-27T12:50:36Z,0.0445034763216581,85.21666666666667,FreeCodeCamp,2025-08-27,12:50:36 PM
Professional Cloud Architect Certification Course – Pass the Exam!,PT15H45M26S,28061,922,37,2025-08-26T13:42:34Z,0.0341755461316417,945.4333333333332,FreeCodeCamp,2025-08-26,01:42:34 PM
Computer Vision with Arduino Tutorial – 2 Projects,PT2H54M45S,32149,1338,39,2025-08-25T13:59:45Z,0.0428318143643659,174.75,FreeCodeCamp,2025-08-25,01:59:45 PM
From Hospital Janitor to Developer with Emmett Naughton [Podcast #185],PT1H28M56S,12170,352,25,2025-08-22T13:15:07Z,0.0309778142974527,88.93333333333334,FreeCodeCamp,2025-08-22,01:15:07 PM
Checkmate Patterns for Beginners – Full Chess Tutorial,PT44M13S,35206,1436,168,2025-08-21T13:30:00Z,0.0455604158382094,44.21666666666667,FreeCodeCamp,2025-08-21,01:30:00 PM
Building an AI-Powered E-commerce Chat Assistant with MongoDB – Tutorial,PT1H42M45S,35965,1388,77,2025-08-20T13:19:46Z,0.0407340469901292,102.75,FreeCodeCamp,2025-08-20,01:19:46 PM
LLM from Scratch Tutorial – Code & Train Qwen 3,PT1H3M4S,34478,1478,42,2025-08-19T13:58:10Z,0.0440860838795753,63.06666666666667,FreeCodeCamp,2025-08-19,01:58:10 PM
From drop-out to backpacker to self-taught developer with Dominick Monaco [Podcast #183],PT1H19M46S,13170,276,21,2025-08-15T13:00:06Z,0.0225512528473804,79.76666666666667,FreeCodeCamp,2025-08-15,01:00:06 PM
